"","prod","title","author","date","ver.purchase","format","stars","comments","helpful"
"789","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Hated it.","catrcats1","August 26, 2017",0,"Size: Galaxy S8",1,"I bought one of these and I hated it.  Two days later took it back and got a different brand.  It is great if you are a previous Samsung user.",NA
"790","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","VERIZON REFUSED TO ACTIVATE","Jessica ","August 4, 2017",1,"Size: Galaxy S8",2,"I checked online to see if this phone was compatible, verizon website confirmed it was but I needed a new SIM for it as mine was an older model.  When I got there all they would say was that this phone was incompatible with their network and there was nothing I could do.  Ordered the SIM through their website so I'll update if it actually works, but so far it's been a no go for Verizon.",13
"791","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","If you have S7 Edge, hang out to it.  S8 is huge step backward in design and usability.","KevT","August 11, 2017",1,"Size: Galaxy S8",1,"Great looking phone but not a good daily driver.  Very slippery and edge to edge screen too prone to accident touching.  I keep tapping on the phone icon by accident while holding the phone.  Bezels being too thin here really is problematic.  Apple has much better accident touch detection.A case can help with the issue but can't fix the really weak battery life.  Typical daily use, I am down to 54% by noon time.  Requires charging, luckily there is fast charging.  They should include a bigger battery not smaller.The new touch screen home button is very confusing and awkward to use.  I have used Pixel, Nexus 6P, this new home button mimicks a physical one but performs very slowly in responsiveness.  You really have ""find"" the home button.  It doesn't just press anywhere on the bottom to activate it.The screen also seems to lag behind S7 Edge in responsiveness.This is not a good phone for Pokemon Go at all.  The battery life sucks and the phone isn't much faster than S7 Edge.Plus side camera and screen quality is great but not a huge leap over the S7 Edge.",25
"792","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Junk","Reid","September 5, 2017",0,"Size: Galaxy S8",1,"A 600 dollar pile of whale terd! Anything is better than this junk.",NA
"793","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Hacker Purchase! Beware!","BDelicious","October 23, 2017",1,"Size: Galaxy S8",1,"Someone hacked into my account and purchased this phone, therefore I don't have a review...",2
"794","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","One Star","Joseph Mona","November 23, 2017",0,"Size: Galaxy S8",1,"Have only had it for 5 days and the screen has scratches all over",2
"795","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","One Star","Matthew J. O'neill","September 24, 2017",0,"Size: Galaxy S8",1,"Samsung devices are terrible and poorly made.",NA
"796","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","One Star","Ahmed M.","August 26, 2017",0,"Size: Galaxy S8",1,"I don't know this version doesn't support Arabic interface and middle east countries, so bad",NA
"797","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Four Stars","Jesica Ne","September 11, 2017",1,"Size: Galaxy S8",4,"I have 2 weeks with it and Yesterday fell down and it Is brocken now 🤧😠😹",NA
"798","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Hasnt infrared port The screen is too long,","alfios","September 1, 2017",1,"Size: Galaxy S8",3,"Hasnt infrared portThe screen is too long, but not so height",NA
"799","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","we ordered a Samsung Galaxy S8+, and it was ...","Rania Radjabaly","September 1, 2017",1,"Size: Galaxy S8+",1,"we ordered a Samsung Galaxy S8+, and it was to take it as a gift in Madagascar. The person opened it and realized that its a Samsung S8 and not a + while we paid full price for it.",6
"800","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","IT IS VERY FRAGILE TO BE SO EXSPENSIVE WHATS THE POINT OF IT BEING WATERPROOF IF IT SO EASILY BREAKS ON DRY LAND","Amazon Customer","August 11, 2017",1,"Size: Galaxy S8",1,"VERY DISSAPOINTED THAT THIS PHONE BROKE  INSIDE AND OUT AFTER A VERY MINOR DROP NOT EVEN FIVE DAYS AFTER RECIEVING IT .WILL NO LONGER BUY SAMSUNG PRODUCTS . IT IS VERY FRAGILE TO BE SO EXSPENSIVE WHATS THE POINT OF IT BEING WATERPROOF IF IT SO EASILY BREAKS ON DRY LAND . THATS  ONLY HELP TO A FISH WHICH I AM NOT . WILL BE USING APPLE PRODUCTS FROM NOW ON .",28
"801","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","One Star","Jeffrey l Haught","August 31, 2017",1,"Size: Galaxy S8",1,"This phone sucks",8
"802","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","It's ok","kc21","August 30, 2017",1,"Size: Galaxy S8+",1,"It's ok",2
"803","Samsung Galaxy S8 64GB Unlocked Phone - International Version (Midnight Black)","Replica Phone fraudulent company","Andy B.","July 26, 2017",1,"Maple Gold",1,"Replica box says s8 but the phone is s5 with sticker saying s5. The phone will not power up, if you put magnet on the screen it sticks, if you put a magnet on real screen it will not stick because it is glass . I paid over $600 for this for a family member visiting from Trinidad and this is what we get.  Amazon is to big with with no quality checks on its vendors. I bet this will not be allowed to be posted but I willl be reaching out to the better business bureau",317
