,stars,comments
119,4, J aime bien le black fait sophistiqué classe pour l instant pas de mauvais point  Avis complet  
120,5, Excellent téléphone comme tous les Samsung.  Avis complet  
121,5, Rien a redire si se n'est que je ne regrette pas du tout mon achat.  Avis complet  
122,5, Dommage je suis à ma 3 ème vitre même la meilleure ne tiens pas!!!!!  Avis complet  
123,5," Téléphone vraiment magnifique, finitions au top la couleur orchidée est vraiment mieux en vrai que sur les photos. Prise en main très agréable l écran est superbe. Le seul tout petit bémol...les écouteurs, bien pour écouter la musique mais moi je m en sera beaucoup pour téléphoner et pas top Livraison en 3j devait être livré entre le 1er et le 5 il était là le 1er au matin.  Avis complet  "
124,5," Je le découvre encore mais c'est un superbe smartphone puissant, très bien fini qui remplace à merveille mon vieux S4 ?  Avis complet  "
125,4, Le tarif est correct ;) Il est super beau et rapide. Le point négatif c'est que l'écran se raye facilement. il faut prendre une protection :( A part ça très bon téléphone  Avis complet  
126,4, bien regarder la notice d'utilisation téléchargée sur internet pour comprendre le fonctionnement des applications  Avis complet  
127,5, Parfait il répond à mes attentes  Avis complet  
128,5," Tout est très bien pensé, très fluide, très rapide, superbes photos, beaucoup de fonctionnalités, beaucoup de mémoire; Prise en main facile, de nombreux réglages et menus déroulants. Sans aucun doute le meilleur smartphone.  Avis complet  "
129,5," Tout est très bien pensé, très fluide, très rapide, superbes photos, beaucoup de fonctionnalités, beaucoup de mémoire; Prise en main facile, de nombreux réglages et menus déroulants. Sans aucun doute le meilleur smartphone.  Avis complet  "
130,5, Nickel ! De la haute qualité Samsung !  Avis complet  
131,5," La qualité de ce téléphone est top. L'écran est sublime. Mon seul regret est au niveau du son : la sortie audio se situe en bas du téléphone sur un seul côté, il suffit de tenir le téléphone normalement pour empêcher d'entendre l'audio, et la prise jack est également sur le bas du téléphone.  Avis complet  "
132,3, En cas de casse ecran ou vitre arriere . Plus de garantie. Meme réalisé chez samasung pour l ip68 . 99 euros vitre arriere. 339 ecran  Avis complet  
133,5, J'ai fais un heureux en lui offrant pour son anniversaire. Au regard il n'y a rien à dire.  Avis complet  
134,5, Je le choisi parce que c'est un bon produit et il est performant très facile à utilisé pour mon entourage je me le conseillerai  Avis complet  
135,5, Hdg Samsung. Livraison en 3j ras conforme à sa description  Avis complet  
136,4, Facile à utiliser. Agréable à regarder les vidéo.  Avis complet  
137,4," L'écran est juste magnifique. Ça répond à mes attentes...moi qui aime la technologie avancer , les fonctionnalités de celui ci sont juste bluffant... juste le bémol qui gâche tout c'est bixby comme tout le monde me dit que ça ne sert pas grand chose. Sur ce je vous le recommande et faite s en bon usage !^^  Avis complet  "
138,5, Top produit. Qualité du smartphone excellente avec une finition au top  Avis complet  
139,4, Produit neuf. original et conforme à la description Excellent smartphone. Normal c'est un s8 Reçu très rapidement merci  Avis complet  
140,5," Magnifique écran, très bonne qualité photo ,ultra rapide... Je le recommande vraiment... Merci à cdiscount  Avis complet  "
141,5, Téléphone reçu dans les délais et neuf avec la boite complète  Avis complet  
142,5, Dans l attente de sa découverte prochaine apres mise en place de mes options applications préférées et de finaliser le transfert de S6 j ai hâte de.... Photos videos qualité Samsung. Rien à dire...(bon le prix un peu cher mais je sais ou je vais) pas de doute ?? C est Samsung quoi !!!??  Avis complet  
143,4," Super téléphone. Ecran magnifique, super rapide, bonne connexion, de la place (64go) pour tout mettre. La reconnaissance faciale marche d'enfer. La reconnaissance d'iris aussi (mais moins utilisé car plus contraignant) Une bombe niveau technique !! Cependant, le bouton physique Bixby qu'il y a en plus ne sert à rien. C'est encore une application forcé par Samsung. Les différentes MAJ du téléphones bloquent le réassignement de ce bouton à une autre fonction (mode avions, silence, ouvrir google). C'est vraiment lourd. Le téléphone a de belles dimensions, voire trop grand pour une utilisation à une main. Les bords arrondi.... et ben ca a l'air d'être une fausse bonne idée. Quand on le tiens on a souvent un bout de doigt ou de peau qui touche l'écran et nuit à l'interaction avec l'écran, alors on le serre moins dans la main et on a juste peur de le faire tomber. Sa surface extrêmement lisse des 2 cotés et sur les bords en fait une vrai savonnette. Ajout d'une coque anti-grip obligatoire, mais ça ne résout pas tout.  Avis complet  "
144,4," Le délai de livraison a été très rapide, mon seul regret est de ne pas avoir reçu ce smartphone dans son emballage originel.  Avis complet  "
145,5," super , avec une qualité d'image très performante et un style très original. très bon produit.  Avis complet  "
146,5, telephone tres fonctionnelle simple  Avis complet  
147,5, Téléphone portable neuf très bien emballé marche très bien par contre le chargeur est anglais mais il y a un convertisseur pour la norme française  Avis complet  
148,5," Il est très fluide, agréable et fonctionnel, la qualité de l'image est excellente. Il répond parfaitement à mes attentes. Son utilisation au quotidien me permet d'être en permanence connecté et informé.  Avis complet  "
149,5," Appareil au top, remise en place des données très facile de mon fidèle s4 avec smart switch. Du grand Samsung  Avis complet  "
150,5," Technologie à la pointe, magnifiques couleurs que ça soit pour la photo que la vidéo en soirée, merci je suis satisfaite, par contre livraison Chronopost express pas respecter + 5 jours, aucun geste commercial de fait!:(  Avis complet  "
151,4," Super smartphone, très fluide au look sympa. On conseillera d acheter les coques et verre de protection rapidement car c est un appareil très fragile. Attention à la chute. Sinon rien à dire, c est du beau travail, merci Samsung  Avis complet  "
152,5, Bien emballé. Délais de livraison courts. Rien à dire.  Avis complet  
153,5, Très beau bonne performance écran infinity magnifique du bon et magnifique Samsung  Avis complet  
154,4," Le S8 a remplacé mon S4 âgé de 4 ans avec un écran assez fissuré. Après quelques temps d'utilisation, je considère que le S8 est très complet, facile à utiliser mais avec un paramétrage trop abondant ce qui amène à une certaine complexité d'utilisation. Pour un usage basique, toute la sophistication logicielle ne sert à rien. Un appareil à réserver pour les geeks ou pour ceux qui aiment fouiner dans les paramètres.  Avis complet  "
155,5, Le top rapide et pas cher  Avis complet  
156,5," Je suis ravis téléphone géniale. Je l'ai reçu en 3jours très bons services de cdiscount. Et avec le telephone tput les accessoires, même un adaptateur USB pour votre téléphone ! Je recommande vraiment a tout le monde !  Avis complet  "
157,5, Livraison rapide et produit conforme. très satisfait de mon produit S8  Avis complet  
158,5, Bonne experience avec cet achat et l'utilisation de ce telephone je recommande  Avis complet  
159,5," Très bon produit, je ne suis vraiment pas déçu, beau design et surtout très costaud et très beau, facile à utiliser, j'adore!  Avis complet  "
160,4," Encore une fois innovant, une vraie machine de guerre... rien de négatif pour l'instant à signaler au top du top  Avis complet  "
161,5," J'ai ce téléphone depuis quelques semaines. J'avais jusque là un Windows Phone de 2015, donc forcément la différence est flagrante. L'écran est top, la fluidité, les photos, tout me convient. Je ne l'utilise pas du tout pour jouer mais je peux regarder des films en 1080p sans souci. C'est confortable. Je suis très content d'avoir craqué. C'est cher, mais si on aime ça, ça vaut le coup.  Avis complet  "
162,5," J'avais le s7 edge rose et bien je peux vous dire que je préfère largement le s8 qui est beaucoup plus fin car j'ai un meilleur maintien. La couleur noir est super chic et classe. Sa faisait longtemps que j'avais pas pris un smartphone noir et maintenant je préfère largement il passe partout et se fait discret. Il est arrivé vite en 3 jours en comptant le jour férié. Bien emballée et la boîte est bien neuf. Niveau rapidite nickel, La batterie tiens normalement une journée après sa dépend de votre utilisation. Je regrette pas mon achat et je le recommande. Pour le prix sa vaut le coup car en magasin c'est casiment 2 fois plus cher.  Avis complet  "
163,5," Pour faire un cadeau a ma fille, elle en est ravis.  Avis complet  "
164,5, Je suis très satisfai du produit. Bon investissement  Avis complet  
165,5, Je l'ai cela va bientôt faire une dizaine de jours et j'en suis très ravie.  Avis complet  
166,5," Vu les prix, j ai douté du site. Mais après réception ( 1 petite semaine) je dois avoué le sérieux de global. Très bon produit, le meilleur dual Sim du marché selon moi.  Avis complet  "
167,5, Il est parfait c'est le meilleure téléphone !!!  Avis complet  
168,5," En plus d'être très fonctionnel, pratique et adapté à mes besoins, c'est un bel objet au design léché. A voir sur le long terme désormais mais pas de raison d'être déçu.  Avis complet  "
169,5, Très bel appareil et très fonctionnel  Avis complet  
170,5, Conforme à la photo livraison avant la date prévue je kiffe mon téléphone je recommande ce vendeur les yeux fermés.  Avis complet  
171,5," Très bien, malgré le prix un peu élevé quand même, le S8 répond complètement a mes attentes.  Avis complet  "
172,4, Ce Samsung Galaxy S8 est un beau petit téléphone avec un bel écran comme Samsung sait le faire.. rien à redire côté technique.. après comme d'habitude très peu de personnalisation en ce qui me concerne c'est pour ça d'ailleurs que je l'ai revendu une semaine après..  Avis complet  
173,4, faire bien attention verre trempé est coque de protection non compatible pour ce modele c'est l'un ou l'autre regarder bien sur les forums  Avis complet  
